wahl_jahr;gemeinde_nummer;gemeinde_bezeichnung;kanton_nummer;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;stimmen_partei;letzte_wahl_stimmen_partei;differenz_stimmen_partei;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
2019;1;Aeugst am Albis;1;1;FDP;PLR;PLR;FDP;4457;4906;-449;16.421044875;18.691659999;-2.270615124;0;2
2019;1;Aeugst am Albis;1;2;CVP;PDC;PPD;CVP;678;545;133;2.4979736202;2.0764277822;0.421545838;0;8
2019;1;Aeugst am Albis;1;3;SP;PS;PS;SP;3139;4894;-1755;11.565102056;18.645940488;-7.080838433;0;5
2019;1;Aeugst am Albis;1;4;SVP;UDC;UDC;SVP;8246;8118;128;30.380959399;30.929249057;-0.548289658;1;1
2019;1;Aeugst am Albis;1;7;EVP;PEV;PEV;EVP;876;910;-34;3.2274703412;3.4670629024;-0.239592561;0;7
2019;1;Aeugst am Albis;1;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;44;44;0;0.1621103824;0.1676382063;-0.005527824;0;13
2019;1;Aeugst am Albis;1;12;FGA;AVF;AVF;FGA;82;;82;0.3021148036;;0.3021148036;0;12
2019;1;Aeugst am Albis;1;13;GPS;PES;PES;GPS;4085;1857;2228;15.050475278;7.0750942965;7.9753809817;0;3
2019;1;Aeugst am Albis;1;14;SD;DS;DS;SD;106;82;24;0.3905386486;0.3124166571;0.0781219914;0;11
2019;1;Aeugst am Albis;1;16;EDU;UDF;UDF;EDU;931;1201;-270;3.4301083192;4.5757610394;-1.14565272;0;6
2019;1;Aeugst am Albis;1;31;GLP;PVL;PVL;GLP;3886;2214;1672;14.31729423;8.4352497428;5.8820444875;0;4
2019;1;Aeugst am Albis;1;32;BDP;PBD;PBD;BDP;343;687;-344;1.2637241176;2.6174419934;-1.353717876;0;9
2019;1;Aeugst am Albis;1;35;Übrige;Autres;Rimanenti;Others;269;789;-520;0.991083929;3.0060578352;-2.014973906;0;10
2019;2;Affoltern am Albis;1;1;FDP;PLR;PLR;FDP;14078;15271;-1193;13.385437466;14.226623564;-0.841186099;0;3
2019;2;Affoltern am Albis;1;2;CVP;PDC;PPD;CVP;4770;4922;-152;4.5353414342;4.5853867581;-0.050045324;0;7
2019;2;Affoltern am Albis;1;3;SP;PS;PS;SP;15403;20481;-5078;14.645254531;19.080314139;-4.435059608;0;2
2019;2;Affoltern am Albis;1;4;SVP;UDC;UDC;SVP;31875;36266;-4391;30.306919961;33.785785487;-3.478865526;1;1
2019;2;Affoltern am Albis;1;7;EVP;PEV;PEV;EVP;6961;5866;1095;6.6185559169;5.4648270465;1.1537288703;0;6
2019;2;Affoltern am Albis;1;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;209;204;5;0.1987183144;0.1900485369;0.0086697775;0;13
2019;2;Affoltern am Albis;1;12;FGA;AVF;AVF;FGA;414;;414;0.3936334075;;0.3936334075;0;11
2019;2;Affoltern am Albis;1;13;GPS;PES;PES;GPS;13242;6667;6575;12.590564208;6.211047037;6.3795171709;0;5
2019;2;Affoltern am Albis;1;14;SD;DS;DS;SD;225;205;20;0.2139311997;0.1909801474;0.0229510523;0;12
2019;2;Affoltern am Albis;1;16;EDU;UDF;UDF;EDU;1411;1693;-282;1.3415863236;1.5772165342;-0.235630211;0;9
2019;2;Affoltern am Albis;1;31;GLP;PVL;PVL;GLP;13322;7898;5424;12.666628634;7.3578595318;5.3087691027;0;4
2019;2;Affoltern am Albis;1;32;BDP;PBD;PBD;BDP;2105;4470;-2365;2.0014452241;4.1642988234;-2.162853599;0;8
2019;2;Affoltern am Albis;1;35;Übrige;Autres;Rimanenti;Others;1159;3398;-2239;1.1019833799;3.1656123941;-2.063629014;0;10
2019;3;Bonstetten;1;1;FDP;PLR;PLR;FDP;10643;10980;-337;15.354983914;16.472635622;-1.117651708;0;4
2019;3;Bonstetten;1;2;CVP;PDC;PPD;CVP;2681;2252;429;3.8679612771;3.3785405665;0.4894207106;0;7
2019;3;Bonstetten;1;3;SP;PS;PS;SP;11605;13600;-1995;16.742890944;20.403264522;-3.660373578;0;2
2019;3;Bonstetten;1;4;SVP;UDC;UDC;SVP;18102;19397;-1295;26.116312957;29.100156025;-2.983843068;1;1
2019;3;Bonstetten;1;7;EVP;PEV;PEV;EVP;2907;2095;812;4.1940184381;3.1430028805;1.0510155576;0;6
2019;3;Bonstetten;1;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;122;75;47;0.1760131577;0.1125180029;0.0634951548;0;13
2019;3;Bonstetten;1;12;FGA;AVF;AVF;FGA;499;;499;0.7199226696;;0.7199226696;0;11
2019;3;Bonstetten;1;13;GPS;PES;PES;GPS;8573;4440;4133;12.368531156;6.6610657705;5.7074653852;0;5
2019;3;Bonstetten;1;14;SD;DS;DS;SD;128;111;17;0.1846695425;0.1665266443;0.0181428982;0;12
2019;3;Bonstetten;1;16;EDU;UDF;UDF;EDU;832;1166;-334;1.2003520263;1.7492798848;-0.548927858;0;10
2019;3;Bonstetten;1;31;GLP;PVL;PVL;GLP;11255;7907;3348;16.237935164;11.862397984;4.37553718;0;3
2019;3;Bonstetten;1;32;BDP;PBD;PBD;BDP;890;2535;-1645;1.2840304128;3.8031084974;-2.519078085;0;9
2019;3;Bonstetten;1;35;Übrige;Autres;Rimanenti;Others;1076;2098;-1022;1.5523783417;3.1475036006;-1.595125259;0;8
2019;4;Hausen am Albis;1;1;FDP;PLR;PLR;FDP;5247;5740;-493;11.135162666;12.793652209;-1.658489542;0;5
2019;4;Hausen am Albis;1;2;CVP;PDC;PPD;CVP;1854;1293;561;3.9345514739;2.8819150359;1.052636438;0;7
2019;4;Hausen am Albis;1;3;SP;PS;PS;SP;6461;8701;-2240;13.711508669;19.393304507;-5.681795838;0;3
2019;4;Hausen am Albis;1;4;SVP;UDC;UDC;SVP;15637;15675;-38;33.18477961;34.937369055;-1.752589445;1;1
2019;4;Hausen am Albis;1;7;EVP;PEV;PEV;EVP;1913;1153;760;4.0597610407;2.5698747381;1.4898863026;0;6
2019;4;Hausen am Albis;1;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;91;87;4;0.1931198404;0.1939107565;-0.000790916;0;13
2019;4;Hausen am Albis;1;12;FGA;AVF;AVF;FGA;190;;190;0.4032172492;;0.4032172492;0;11
2019;4;Hausen am Albis;1;13;GPS;PES;PES;GPS;7890;3599;4291;16.744126822;8.0216645121;8.7224623103;0;2
2019;4;Hausen am Albis;1;14;SD;DS;DS;SD;107;83;24;0.2270749772;0.1849953194;0.0420796578;0;12
2019;4;Hausen am Albis;1;16;EDU;UDF;UDF;EDU;652;736;-84;1.3836718236;1.6404404226;-0.256768599;0;9
2019;4;Hausen am Albis;1;31;GLP;PVL;PVL;GLP;5851;3925;1926;12.41696908;8.7482726341;3.6686964455;0;4
2019;4;Hausen am Albis;1;32;BDP;PBD;PBD;BDP;759;2089;-1330;1.6107468008;4.6560870147;-3.045340214;0;8
2019;4;Hausen am Albis;1;35;Übrige;Autres;Rimanenti;Others;469;1785;-1316;0.9953099467;3.9785137966;-2.98320385;0;10
2019;5;Hedingen;1;1;FDP;PLR;PLR;FDP;6671;7834;-1163;13.990897842;15.80582681;-1.814928968;0;4
2019;5;Hedingen;1;2;CVP;PDC;PPD;CVP;1847;1942;-95;3.8736603679;3.9181664111;-0.044506043;0;6
2019;5;Hedingen;1;3;SP;PS;PS;SP;7981;11141;-3160;16.738323441;22.478008232;-5.739684791;0;2
2019;5;Hedingen;1;4;SVP;UDC;UDC;SVP;12684;14926;-2242;26.60179107;30.114599306;-3.512808236;1;1
2019;5;Hedingen;1;7;EVP;PEV;PEV;EVP;1777;1779;-2;3.7268513664;3.5892986845;0.1375526818;0;7
2019;5;Hedingen;1;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;87;113;-26;0.1824626161;0.2279880558;-0.04552544;0;12
2019;5;Hedingen;1;12;FGA;AVF;AVF;FGA;392;;392;0.8221304083;;0.8221304083;0;11
2019;5;Hedingen;1;13;GPS;PES;PES;GPS;5888;3205;2683;12.348734297;6.4663868937;5.882347403;0;5
2019;5;Hedingen;1;14;SD;DS;DS;SD;53;9;44;0.1111553868;0.0181583407;0.0929970461;0;13
2019;5;Hedingen;1;16;EDU;UDF;UDF;EDU;982;903;79;2.0595205637;1.8218868534;0.2376337104;0;8
2019;5;Hedingen;1;31;GLP;PVL;PVL;GLP;7827;4771;3056;16.415343638;9.6259381809;6.789405457;0;3
2019;5;Hedingen;1;32;BDP;PBD;PBD;BDP;897;1868;-971;1.8812524905;3.7688644984;-1.887612008;0;9
