gemeinde_bezeichnung;wahl_jahr;kanton_nummer;kanton_bezeichnung;bezirk_nummer;bezirk_bezeichnung;gemeinde_nummer;wahlberechtigte;eingelegte_wahlzettel;leere_wahlzettel;ungueltige_wahlzettel;gueltige_wahlzettel;wahlbeteiligung;letzte_wahl_wahlbeteiligung;differenz_wahlbeteiligung
Aeugst am Albis;2019;1;Zürich;101;Bezirk Affoltern;1;1407;779;0;0;779;55.366027008;54.127781766;1.2382452418
Affoltern am Albis;2019;1;Zürich;101;Bezirk Affoltern;2;7218;3042;7;0;3035;42.144638404;43.821022727;-1.676384323
Bonstetten;2019;1;Zürich;101;Bezirk Affoltern;3;3673;1996;1;0;1995;54.342499319;54.733560091;-0.391060771
Hausen am Albis;2019;1;Zürich;101;Bezirk Affoltern;4;2537;1355;0;0;1355;53.409538825;53.978224456;-0.56868563
Hedingen;2019;1;Zürich;101;Bezirk Affoltern;5;2540;1371;3;0;1368;53.976377953;57.437348424;-3.460970471
Kappel am Albis;2019;1;Zürich;101;Bezirk Affoltern;6;768;376;0;2;374;48.958333333;51.311953353;-2.353620019
Knonau;2019;1;Zürich;101;Bezirk Affoltern;7;1494;695;1;0;694;46.519410977;50.729927007;-4.21051603
Maschwanden;2019;1;Zürich;101;Bezirk Affoltern;8;451;214;0;0;214;47.450110865;39.177489177;8.2726216873
Mettmenstetten;2019;1;Zürich;101;Bezirk Affoltern;9;3504;1768;1;2;1765;50.456621005;56.939163498;-6.482542494
Obfelden;2019;1;Zürich;101;Bezirk Affoltern;10;3508;1513;0;0;1513;43.129988597;48.836477987;-5.70648939
Ottenbach;2019;1;Zürich;101;Bezirk Affoltern;11;1852;970;0;0;970;52.375809935;55.513513514;-3.137703578
Rifferswil;2019;1;Zürich;101;Bezirk Affoltern;12;758;444;0;0;444;58.575197889;62.146892655;-3.571694766
Stallikon;2019;1;Zürich;101;Bezirk Affoltern;13;2363;1122;0;1;1121;47.482014388;51.06856634;-3.586551952
Wettswil am Albis;2019;1;Zürich;101;Bezirk Affoltern;14;3428;1791;5;0;1786;52.246207701;55.579203405;-3.332995704
Adlikon;2019;1;Zürich;102;Bezirk Andelfingen;21;496;275;0;9;266;55.443548387;56.756756757;-1.31320837
Benken (ZH);2019;1;Zürich;102;Bezirk Andelfingen;22;608;287;0;0;287;47.203947368;44.934640523;2.2693068455
Berg am Irchel;2019;1;Zürich;102;Bezirk Andelfingen;23;452;256;0;0;256;56.637168142;65.044247788;-8.407079646
Buch am Irchel;2019;1;Zürich;102;Bezirk Andelfingen;24;685;363;0;0;363;52.99270073;53.343239227;-0.350538497
Dachsen;2019;1;Zürich;102;Bezirk Andelfingen;25;1344;617;1;8;608;45.907738095;49.700149925;-3.79241183
Dorf;2019;1;Zürich;102;Bezirk Andelfingen;26;481;231;0;0;231;48.024948025;53.319057816;-5.294109791
Feuerthalen;2019;1;Zürich;102;Bezirk Andelfingen;27;2270;898;2;0;896;39.559471366;43.198198198;-3.638726833
Flaach;2019;1;Zürich;102;Bezirk Andelfingen;28;972;493;0;0;493;50.720164609;57.326203209;-6.6060386
Flurlingen;2019;1;Zürich;102;Bezirk Andelfingen;29;1026;521;0;0;521;50.779727096;54.010152284;-3.230425189
Andelfingen;2019;1;Zürich;102;Bezirk Andelfingen;30;1516;852;1;0;851;56.200527704;61.349693252;-5.149165547
Henggart;2019;1;Zürich;102;Bezirk Andelfingen;31;1618;834;0;0;834;51.545117429;56.962025316;-5.416907888
Humlikon;2019;1;Zürich;102;Bezirk Andelfingen;32;349;187;0;0;187;53.581661891;53.168044077;0.413617814
Kleinandelfingen;2019;1;Zürich;102;Bezirk Andelfingen;33;1458;712;0;0;712;48.834019204;56.106071179;-7.272051975
Laufen-Uhwiesen;2019;1;Zürich;102;Bezirk Andelfingen;34;1237;600;0;0;600;48.504446241;53.645833333;-5.141387092
Marthalen;2019;1;Zürich;102;Bezirk Andelfingen;35;1406;797;0;0;797;56.685633001;55.796089385;0.8895436159
