wahl_jahr;ebene_resultat;geoLevelName;kanton_nummer;kanton_bezeichnung;bezirk_nummer;bezirk_bezeichnung;gemeinde_nummer;gemeinde_bezeichnung;wahlberechtigte;leere_wahlzettel;ungueltige_wahlzettel;gueltige_wahlzettel;wahlbeteiligung;letzte_wahl_wahlbeteiligung;differenz_wahlbeteiligung;eingelegte_wahlzettel
2023;Schweiz;Schweiz;;;;;;;5585212;9611;40838;2554482;46.639787353;45.109775796;1.530011557;2604931
2023;Kanton;Zürich;1;Zürich;;;;;967140;242;6618;447232;46.952044171;44.439305012;2.5127391591;454092
2023;Kanton;Bern / Berne;2;Bern / Berne;;;;;747385;430;4208;367180;49.749192183;47.376696425;2.3724957588;371818
2023;Kanton;Luzern;3;Luzern;;;;;285563;239;3367;139906;50.255810452;48.387027461;1.868782991;143512
2023;Kanton;Uri;4;Uri;;;;;27069;286;99;13282;50.489489822;45.860871513;4.6286183089;13667
2023;Kanton;Schwyz;5;Schwyz;;;;;107651;59;506;58225;54.611661759;48.647804102;5.9638576568;58790
2023;Kanton;Obwalden;6;Obwalden;;;;;27576;265;225;15711;58.750362634;55.077706818;3.6726558159;16201
2023;Kanton;Nidwalden;7;Nidwalden;;;;;31942;165;87;17701;56.204996556;50.384161699;5.8208348577;17953
2023;Kanton;Glarus;8;Glarus;;;;;26731;91;84;12650;47.978003068;39.886877828;8.0911252395;12825
2023;Kanton;Zug;9;Zug;;;;;78624;51;908;40794;53.10464998;52.115657674;0.9889923057;41753
2023;Kanton;Fribourg / Freiburg;10;Fribourg / Freiburg;;;;;215165;554;592;96546;45.403295146;43.023419488;2.3798756577;97692
2023;Kanton;Solothurn;11;Solothurn;;;;;183265;239;1920;85553;47.860748097;44.803394876;3.0573532214;87712
2023;Kanton;Basel-Stadt;12;Basel-Stadt;;;;;114036;96;374;56235;49.725525273;47.735655648;1.9898696248;56705
2023;Kanton;Basel-Landschaft;13;Basel-Landschaft;;;;;191075;176;999;85019;45.110035326;42.527683527;2.5823517998;86194
2023;Kanton;Schaffhausen;14;Schaffhausen;;;;;53960;502;179;32573;61.627131208;59.648318919;1.9788122897;33254
2023;Kanton;Appenzell Ausserrhoden;15;Appenzell Ausserrhoden;;;;;39182;286;118;17841;46.564749119;41.28203159;5.2827175295;18245
2023;Kanton;Appenzell Innerrhoden;16;Appenzell Innerrhoden;;;;;12243;142;62;2796;24.503798089;48.735555183;-24.23175709;3000
2023;Kanton;St. Gallen;17;St. Gallen;;;;;331680;210;2010;145682;44.591775205;41.927574268;2.6642009372;147902
2023;Kanton;Graubünden / Grigioni / Grischun;18;Graubünden / Grigioni / Grischun;;;;;141714;253;1220;59521;43.040207742;42.923890411;0.116317331;60994
2023;Kanton;Aargau;19;Aargau;;;;;442881;221;3013;202946;46.55426627;44.730114827;1.8241514433;206180
2023;Kanton;Thurgau;20;Thurgau;;;;;179191;147;1963;81465;46.640177241;42.411536277;4.2286409636;83575
2023;Kanton;Ticino;21;Ticino;;;;;225843;1798;1514;105017;47.966507707;49.614593924;-1.648086217;108329
2023;Kanton;Vaud;22;Vaud;;;;;476506;1391;2970;186547;40.064133505;41.39692905;-1.332795545;190908
2023;Kanton;Valais / Wallis;23;Valais / Wallis;;;;;233007;885;2885;109685;48.691670207;54.058436538;-5.36676633;113455
2023;Kanton;Neuchâtel;24;Neuchâtel;;;;;114014;217;607;45068;40.251197221;40.171599943;0.0795972782;45892
2023;Kanton;Genève;25;Genève;;;;;277228;423;4211;105844;39.850953006;38.196745138;1.6542078685;110478
2023;Kanton;Jura;26;Jura;;;;;54541;243;99;23463;43.646064429;42.552595194;1.0934692341;23805
2023;Gemeinde;Aeugst am Albis;1;Zürich;101;Bezirk Affoltern;1;Aeugst am Albis;1384;1;5;809;58.887283237;55.366027008;3.5212562292;815
2023;Gemeinde;Affoltern am Albis;1;Zürich;101;Bezirk Affoltern;2;Affoltern am Albis;7280;0;53;3226;45.041208791;42.144638404;2.8965703872;3279
2023;Gemeinde;Bonstetten;1;Zürich;101;Bezirk Affoltern;3;Bonstetten;3638;2;13;1983;54.920285871;54.342499319;0.577786552;1998
2023;Gemeinde;Hausen am Albis;1;Zürich;101;Bezirk Affoltern;4;Hausen am Albis;2621;1;0;1379;52.651659672;53.409538825;-0.757879154;1380
2023;Gemeinde;Hedingen;1;Zürich;101;Bezirk Affoltern;5;Hedingen;2570;0;46;1475;59.182879377;53.976377953;5.2065014247;1521
