GDEKT;GDEBZNR;Number of commune;Name of commune;Canton
ZH;101;1;Aeugst am Albis;Zürich
ZH;101;2;Affoltern am Albis;Zürich
ZH;101;3;Bonstetten;Zürich
ZH;101;4;Hausen am Albis;Zürich
ZH;101;5;Hedingen;Zürich
ZH;101;6;Kappel am Albis;Zürich
ZH;101;7;Knonau;Zürich
ZH;101;8;Maschwanden;Zürich
ZH;101;9;Mettmenstetten;Zürich
ZH;101;10;Obfelden;Zürich
ZH;101;11;Ottenbach;Zürich
ZH;101;12;Rifferswil;Zürich
ZH;101;13;Stallikon;Zürich
ZH;101;14;Wettswil am Albis;Zürich
ZH;102;22;Benken (ZH);Zürich
ZH;102;23;Berg am Irchel;Zürich
ZH;102;24;Buch am Irchel;Zürich
ZH;102;25;Dachsen;Zürich
ZH;102;26;Dorf;Zürich
ZH;102;27;Feuerthalen;Zürich
ZH;102;28;Flaach;Zürich
ZH;102;29;Flurlingen;Zürich
ZH;102;31;Henggart;Zürich
ZH;102;33;Kleinandelfingen;Zürich
ZH;102;34;Laufen-Uhwiesen;Zürich
ZH;102;35;Marthalen;Zürich
ZH;102;37;Ossingen;Zürich
ZH;102;38;Rheinau;Zürich
ZH;102;39;Thalheim an der Thur;Zürich
ZH;102;40;Trüllikon;Zürich
ZH;102;41;Truttikon;Zürich
ZH;102;43;Volken;Zürich
ZH;103;51;Bachenbülach;Zürich
ZH;103;52;Bassersdorf;Zürich
ZH;103;53;Bülach;Zürich
ZH;103;54;Dietlikon;Zürich
ZH;103;55;Eglisau;Zürich
ZH;103;56;Embrach;Zürich
ZH;103;57;Freienstein-Teufen;Zürich
ZH;103;58;Glattfelden;Zürich
ZH;103;59;Hochfelden;Zürich
ZH;103;60;Höri;Zürich
ZH;103;61;Hüntwangen;Zürich
ZH;103;62;Kloten;Zürich
ZH;103;63;Lufingen;Zürich
ZH;103;64;Nürensdorf;Zürich
ZH;103;65;Oberembrach;Zürich
ZH;103;66;Opfikon;Zürich
ZH;103;67;Rafz;Zürich
ZH;103;68;Rorbas;Zürich
ZH;103;69;Wallisellen;Zürich
ZH;103;70;Wasterkingen;Zürich
ZH;103;71;Wil (ZH);Zürich
ZH;103;72;Winkel;Zürich
ZH;104;81;Bachs;Zürich
ZH;104;82;Boppelsen;Zürich
ZH;104;83;Buchs (ZH);Zürich
ZH;104;84;Dällikon;Zürich
ZH;104;85;Dänikon;Zürich
ZH;104;86;Dielsdorf;Zürich
ZH;104;87;Hüttikon;Zürich
ZH;104;88;Neerach;Zürich
ZH;104;89;Niederglatt;Zürich
ZH;104;90;Niederhasli;Zürich
ZH;104;91;Niederweningen;Zürich
ZH;104;92;Oberglatt;Zürich
ZH;104;93;Oberweningen;Zürich
ZH;104;94;Otelfingen;Zürich
ZH;104;95;Regensberg;Zürich
ZH;104;96;Regensdorf;Zürich
ZH;104;97;Rümlang;Zürich
ZH;104;98;Schleinikon;Zürich
ZH;104;99;Schöfflisdorf;Zürich
ZH;104;100;Stadel;Zürich
ZH;104;101;Steinmaur;Zürich
ZH;104;102;Weiach;Zürich
ZH;105;111;Bäretswil;Zürich
ZH;105;112;Bubikon;Zürich
ZH;105;113;Dürnten;Zürich
ZH;105;114;Fischenthal;Zürich
ZH;105;115;Gossau (ZH);Zürich
ZH;105;116;Grüningen;Zürich
ZH;105;117;Hinwil;Zürich
ZH;105;118;Rüti (ZH);Zürich
ZH;105;119;Seegräben;Zürich
ZH;105;120;Wald (ZH);Zürich
ZH;105;121;Wetzikon (ZH);Zürich
ZH;106;131;Adliswil;Zürich
ZH;106;135;Kilchberg (ZH);Zürich
ZH;106;136;Langnau am Albis;Zürich
ZH;106;137;Oberrieden;Zürich
ZH;106;138;Richterswil;Zürich
ZH;106;139;Rüschlikon;Zürich
ZH;106;141;Thalwil;Zürich
ZH;107;151;Erlenbach (ZH);Zürich
ZH;107;152;Herrliberg;Zürich
ZH;107;153;Hombrechtikon;Zürich
ZH;107;154;Küsnacht (ZH);Zürich
ZH;107;155;Männedorf;Zürich
ZH;107;156;Meilen;Zürich
ZH;107;157;Oetwil am See;Zürich
ZH;107;158;Stäfa;Zürich
ZH;107;159;Uetikon am See;Zürich
ZH;107;160;Zumikon;Zürich
ZH;107;161;Zollikon;Zürich
ZH;108;172;Fehraltorf;Zürich
ZH;108;173;Hittnau;Zürich
ZH;108;176;Lindau;Zürich
ZH;108;177;Pfäffikon;Zürich
ZH;108;178;Russikon;Zürich
ZH;108;180;Weisslingen;Zürich
ZH;108;181;Wila;Zürich
ZH;108;182;Wildberg;Zürich
ZH;109;191;Dübendorf;Zürich
ZH;109;192;Egg;Zürich
ZH;109;193;Fällanden;Zürich
ZH;109;194;Greifensee;Zürich
ZH;109;195;Maur;Zürich
ZH;109;196;Mönchaltorf;Zürich
ZH;109;197;Schwerzenbach;Zürich
ZH;109;198;Uster;Zürich
ZH;109;199;Volketswil;Zürich
ZH;109;200;Wangen-Brüttisellen;Zürich
ZH;110;211;Altikon;Zürich
ZH;110;213;Brütten;Zürich
ZH;110;214;Dägerlen;Zürich
ZH;110;215;Dättlikon;Zürich
ZH;110;216;Dinhard;Zürich
ZH;110;218;Ellikon an der Thur;Zürich
ZH;110;219;Elsau;Zürich
ZH;110;220;Hagenbuch;Zürich
ZH;110;221;Hettlingen;Zürich
ZH;110;223;Neftenbach;Zürich
ZH;110;224;Pfungen;Zürich
ZH;110;225;Rickenbach (ZH);Zürich
ZH;110;226;Schlatt (ZH);Zürich
ZH;110;227;Seuzach;Zürich
ZH;110;228;Turbenthal;Zürich
ZH;110;230;Winterthur;Zürich
ZH;110;231;Zell (ZH);Zürich
ZH;111;241;Aesch (ZH);Zürich
ZH;111;242;Birmensdorf (ZH);Zürich
ZH;111;243;Dietikon;Zürich
ZH;111;244;Geroldswil;Zürich
