Number of commune;Name of commune;Residents;Change in %;Population density per km²;Foreign nationals in %;0-19 years;20-64 years;65 years or over;Crude marriage rate;Crude divorce rate;Crude birth rate;Crude mortality rate;Private households;Size of households in persons;Total surface area in km2  1);Settlement and urban area in %;Change in ha;Agricultural area in %;Change in ha;Wooded area in %;Unproductive area in %;Employed total;Primary sector;Secondary sector;Tertiary sector;Business establishments total;Primary sector;Secondary sector;Tertiary sector;Dwelling vacancy rate;New housing units per 1000 residents;Social assistance rate
1;Aeugst am Albis;1981;8.6074561404;250.4424778761;14.1847551742;19.7879858657;62.1908127208;18.0212014134;7.0653545294;2.0186727227;9.0840272521;6.5606863487;848;2.3242924528;7.91;12.6582278481;21;51.1392405063;-22;30.8860759494;5.3164556962;442;39;25;378;141;15;16;110;5.2915766739;13.9103554869;1.01
2;Affoltern am Albis;12303;10.9277792805;1161.7563739377;28.7003169959;20.1658132163;61.6678858815;18.1663009022;5.5437795532;1.7935757378;12.8811348443;9.2124571988;5412;2.2259793052;10.59;30.6742640076;92;40.1709401709;-93;28.2051282051;0.9496676163;6920;47;1307;5566;995;23;134;838;1.0055478502;3.7872550634;3.02
3;Bonstetten;5572;8.0054274084;749.932705249;16.5649676956;23.6360373295;59.8348887294;16.5290739411;4.3165467626;1.7985611511;9.8920863309;4.3165467626;2327;2.3841856468;7.43;15.4569892473;24;55.5107526882;-21;28.6290322581;0.4032258065;1014;34;111;869;281;14;26;241;1.1717171717;0.1814223512;1.51
4;Hausen am Albis;3751;11.6369047619;275.8088235294;16.0223940283;22.1807517995;59.8240469208;17.9952012797;3.2206119163;1.6103059581;8.5882984434;3.757380569;1552;2.4007731959;13.6;12.6925898753;33;55.9060895084;-31;28.8334556126;2.5678650037;1021;93;136;792;271;36;38;197;0.6300114548;3.0021834061;1.19
5;Hedingen;3778;10.7917888563;578.5604900459;16.4107993647;21.6251985177;61.6463737427;16.7284277395;3.7273695421;2.1299254526;7.4547390841;6.3897763578;1580;2.3784810127;6.53;19.8170731707;44;46.3414634146;-43;33.2317073171;0.6097560976;1478;29;679;770;201;11;26;164;0.9626955475;3.2485110991;1.47
6;Kappel am Albis;1221;33.0065359477;154.1666666667;17.5266175266;24.9795249795;61.1793611794;13.8411138411;3.3641715728;0;10.0925147183;5.0462573591;493;2.4665314402;7.92;8.3120204604;12;69.9488491049;-12;20.5882352941;1.1508951407;319;56;81;182;101;21;24;56;2.1778584392;37.3333333333;0.69
7;Knonau;2378;32.1111111111;367.542503864;18.2926829268;24.3481917578;60.9756097561;14.6761984861;3.3677120606;0.8419280152;12.6289202273;8.4192801515;927;2.5587918015;6.47;18.0277349769;19;62.249614792;-21;17.1032357473;2.6194144838;566;55;108;403;133;24;15;94;0.5882352941;5.6399132321;0.84
8;Maschwanden;645;4.7077922078;137.526652452;12.8682170543;22.015503876;59.5348837209;18.4496124031;3.0745580323;0;6.1491160646;7.6863950807;274;2.3540145985;4.69;8.9743589744;-5;59.6153846154;0;23.7179487179;7.6923076923;175;49;49;77;67;18;7;42;2.9900332226;0;
9;Mettmenstetten;5200;22.5547961348;399.07904835;14.7692307692;23.0961538462;59.2115384615;17.6923076923;5.0514863027;2.3314552166;13.7944433651;4.6629104333;2097;2.4492131617;13.03;15.9908186687;65;64.2693190513;-70;18.5921958684;1.1476664116;1680;148;545;987;319;51;58;210;1.3250883392;18.2153090463;1.61
10;Obfelden;5721;22.0870678617;758.7533156499;21.4647788848;23.5797937424;59.6399230904;16.7802831673;4.9469964664;1.9434628975;12.1908127208;6.0070671378;2341;2.4246048697;7.54;24.3386243386;46;49.0740740741;-44;21.4285714286;5.1587301587;1252;51;310;891;307;17;60;230;2.1454112038;7.2815533981;2.57
