gemeinde_bezeichnung;wahlbeteiligung
Aeugst am Albis;55.366027008
Affoltern am Albis;42.144638404
Bonstetten;54.342499319
Hausen am Albis;53.409538825
Hedingen;53.976377953
Kappel am Albis;48.958333333
Knonau;46.519410977
Maschwanden;47.450110865
Mettmenstetten;50.456621005
Obfelden;43.129988597
Ottenbach;52.375809935
Rifferswil;58.575197889
Stallikon;47.482014388
Wettswil am Albis;52.246207701
Adlikon;55.443548387
Benken (ZH);47.203947368
Berg am Irchel;56.637168142
Buch am Irchel;52.99270073
Dachsen;45.907738095
Dorf;48.024948025
Feuerthalen;39.559471366
Flaach;50.720164609
Flurlingen;50.779727096
Andelfingen;56.200527704
Henggart;51.545117429
Humlikon;53.581661891
Kleinandelfingen;48.834019204
Laufen-Uhwiesen;48.504446241
Marthalen;56.685633001
Ossingen;50.122050448
Rheinau;53.534183082
Thalheim an der Thur;47.932618683
Trüllikon;49.318463445
Truttikon;58.611111111
Volken;53.658536585
Bachenbülach;40.487421384
Bassersdorf;38.010061487
Bülach;39.058306904
Dietlikon;41.034846885
Eglisau;47.375
Embrach;35.551888522
Freienstein-Teufen;52.488151659
Glattfelden;38.774214036
Hochfelden;45.352323838
Höri;32.708468003
Hüntwangen;49.525101764
Kloten;31.922798115
Lufingen;43.925233645
Nürensdorf;45.382854236
Oberembrach;53.152039555
Opfikon;27.069687534
Rafz;46.916524702
Rorbas;36.895034569
Wallisellen;38.481785639
Wasterkingen;49.516908213
Wil (ZH);52.283770651
Winkel;46.502311248
Bachs;56.44028103
Boppelsen;53.830645161
Buchs (ZH);33.736489964
Dällikon;34.977016298
Dänikon;44.525547445
Dielsdorf;37.783751493
Hüttikon;44.006849315
Neerach;47.729220223
Niederglatt;37.073007368
Niederhasli;36.515124072
Niederweningen;47.079037801
Oberglatt;27.51528627
Oberweningen;47.497879559
Otelfingen;47.206703911
Regensberg;52.293577982
Regensdorf;33.261494253
Rümlang;33.696599826
Schleinikon;47.191011236
Schöfflisdorf;49.63655244
Stadel;42.884130982
Steinmaur;46.502057613
Weiach;32.136445242
Bäretswil;48.843612335
Bubikon;49.239946123
Dürnten;44.690711263
Fischenthal;43.753735804
Gossau (ZH);46.081592598
Grüningen;44.930417495
Hinwil;45.006535948
Rüti (ZH);40.85413929
Seegräben;52.971311475
Wald (ZH);41.07495069
Wetzikon (ZH);39.553295572
Adliswil;41.233633388
Kilchberg (ZH);52.657299939
Langnau am Albis;43.514644351
Oberrieden;54.954682779
Richterswil;44.518272425
Rüschlikon;50.711474417
Thalwil;48.44738084
Erlenbach (ZH);55.346449957
Herrliberg;55.059164453
Hombrechtikon;45.478397761
Küsnacht (ZH);54.203062961
Männedorf;53.594238348
Meilen;54.255437814
Oetwil am See;36.543390699
Stäfa;52.586119297
Uetikon am See;52.382121807
Zumikon;57.291357291
Zollikon;54.4153047
Fehraltorf;44.274444179
Hittnau;49.109792285
Lindau;45.510835913
Pfäffikon;48.105210671
Russikon;51.329787234
Weisslingen;49.202453988
Wila;48.011569053
Wildberg;56.611570248
Dübendorf;36.118925831
Egg;49.001401542
Fällanden;42.515651679
Greifensee;47.545295149
Maur;51.866846604
Mönchaltorf;50.786344457
Schwerzenbach;42.958656331
Uster;48.718183903
Volketswil;37.482155603
Wangen-Brüttisellen;35.960801023
Altikon;55.642023346
Brütten;55.23255814
Dägerlen;55.731225296
Dättlikon;59.040590406
Dinhard;53.219233904
Ellikon an der Thur;46.581875994
Elsau;48.203221809
Hagenbuch;45.74742268
Hettlingen;56.211989574
Neftenbach;47.110998479
Pfungen;39.744155271
Rickenbach (ZH);47.57591902
Schlatt (ZH);53.803339518
Seuzach;46.746002231
Turbenthal;42.580019399
Winterthur;47.064035326
Zell (ZH);40.030991736
Aesch (ZH);54.431599229
Birmensdorf (ZH);47.574718275
Dietikon;31.763649718
Geroldswil;36.285320469
Oberengstringen;35.877659574
Oetwil an der Limmat;40.55745165
Schlieren;28.588516746
Uitikon;56.4717477
Unterengstringen;40.699588477
Urdorf;40.199934448
Weiningen (ZH);42.805755396
Zürich;47.464774247
Stammheim;57.367387033
Wädenswil;47.989648425
Elgg;48.072837633
Horgen;41.981203577
Illnau-Effretikon;41.765442806
Bauma;47.945610405
Wiesendangen;51.17203851
Aarberg;45.308310992
Bargen (BE);47.786458333
Grossaffoltern;49.419087137
Kallnach;43.976261128
Kappelen;46.869244936
Lyss;42.201921266
Meikirch;59.806910569
Radelfingen;51.061776062
Rapperswil (BE);45.274102079
